mass    time    massdiff    netforce
0.02    1.461   0.01        0.0478
0.02    1.441   0.01        0.0491
0.02    1.228   0.01        0.0676
0.02    1.195   0.01        0.0714
0.02    1.276   0.01        0.0626
0.02    1.290   0.01        0.0613
0.02    1.860   0.01        0.0295
0.03    0.936   0.02        0.155
0.03    1.016   0.02        0.132
0.03    0.949   0.02        0.151
0.03    1.009   0.02        0.134
0.03    1.006   0.02        0.134
0.03    0.931   0.02        0.157
0.03    1.000   0.02        0.136
0.10    0.667   0.09        0.840
0.10    0.683   0.09        0.802
0.10    0.669   0.09        0.835
0.10    0.686   0.09        0.795
0.10    0.691   0.09        0.783
0.04    0.896   0.03        0.212
0.04    0.823   0.03        0.251
0.04    0.801   0.03        0.265
0.04    0.897   0.03        0.211
0.04    0.834   0.03        0.244
0.04    0.887   0.03        0.216
0.04    0.889   0.03        0.210
0.05    0.763   0.04        0.350
0.05    0.798   0.04        0.320
0.05    0.789   0.04        0.328
0.05    0.795   0.04        0.323
0.05    0.807   0.04        0.313
0.05    0.781   0.04        0.334
