massdiff    force
0.01        0.0478
0.01        0.0491
0.01        0.0676
0.01        0.0714
0.01        0.0626
0.01        0.0613
0.01        0.0295
0.02        0.155
0.02        0.132
0.02        0.151
0.02        0.134
0.02        0.134
0.02        0.157
0.02        0.136
0.09        0.840
0.09        0.802
0.09        0.835
0.09        0.795
0.09        0.783
0.03        0.212
0.03        0.251
0.03        0.265
0.03        0.211
0.03        0.244
0.03        0.216
0.03        0.210
0.04        0.350
0.04        0.320
0.04        0.328
0.04        0.409
0.04        0.323
0.04        0.313
0.04        0.334
